DATE,MELIPRMSA41420
2017-08-01,359950.0
2017-09-01,359900.0
2017-10-01,377000.0
2017-11-01,377990.0
2017-12-01,385990.0
2018-01-01,384950.0
2018-02-01,384950.0
2018-03-01,379900.0
2018-04-01,385000.0
2018-05-01,398950.0
2018-06-01,394900.0
2018-07-01,398500.0
2018-08-01,379950.0
2018-09-01,375900.0
2018-10-01,372900.0
2018-11-01,364950.0
2018-12-01,369900.0
2019-01-01,367000.0
2019-02-01,362650.0
2019-03-01,366871.4286
2019-04-01,369171.4286
2019-05-01,368900.0
2019-06-01,369900.0
2019-07-01,374950.0
2019-08-01,377100.0
2019-09-01,377100.0
2019-10-01,379900.0
2019-11-01,380900.0
2019-12-01,380000.0
2020-01-01,392450.0
2020-02-01,399000.0
2020-03-01,403950.0
2020-04-01,399000.0
2020-05-01,415000.0
2020-06-01,428450.0
2020-07-01,429945.0
2020-08-01,430000.0
2020-09-01,447450.0
2020-10-01,429900.0
2020-11-01,447450.0
2020-12-01,433500.0
2021-01-01,474900.0
2021-02-01,479975.0
